Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format,Spatial Guid
Micrófono,Device,Capture,G435 Wireless Gaming Headset,,,,Active,No,0.00 dB,100.0%,-33.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{0.0.1.00000000}.{f4782756-1736-4682-9ed9-f4f41f5d1a5a},G435 Wireless Gaming Headset\Device\Micrófono\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{f4782756-1736-4682-9ed9-f4f41f5d1a5a},,"1 Channel, 16 bit, 48000 Hz",
NVIDIA Container,Application,Render,G435 Wireless Gaming Headset,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{aa49c661-fc14-4608-8644-89e1239fbadb}|\Device\HarddiskVolume3\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe%b{00000000-0000-0000-0000-000000000000}|1%b3228,G435 Wireless Gaming Headset\Application\NVIDIA Container,C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,3228,,,,,
NVIDIA Container,Application,Render,Hi-MAX,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{8240f02f-cfe0-4b33-abfc-f027920ca82a}|\Device\HarddiskVolume3\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe%b{00000000-0000-0000-0000-000000000000}|1%b3228,Hi-MAX\Application\NVIDIA Container,C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,3228,,,,,
NVIDIA Container,Application,Capture,TONOR TC310 USB MIC,,,,Active,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{7d659691-8ee0-410e-a5d1-26df57c2b47d}|\Device\HarddiskVolume3\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe%b{00000000-0000-0000-0000-000000000000}|1%b3228,TONOR TC310 USB MIC\Application\NVIDIA Container,C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,3228,,,,,
Steam,Application,Capture,TONOR TC310 USB MIC,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{7d659691-8ee0-410e-a5d1-26df57c2b47d}|\Device\HarddiskVolume3\Program Files (x86)\Steam\steam.exe%b{00000000-0000-0000-0000-000000000000}|1%b30992,TONOR TC310 USB MIC\Application\Steam,C:\Program Files (x86)\Steam\steam.exe,30992,,,,,
Steam,Application,Render,Hi-MAX,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{8240f02f-cfe0-4b33-abfc-f027920ca82a}|\Device\HarddiskVolume3\Program Files (x86)\Steam\steam.exe%b{00000000-0000-0000-0000-000000000000}|1%b30992,Hi-MAX\Application\Steam,C:\Program Files (x86)\Steam\steam.exe,30992,,,,,
Steam Client WebHelper,Application,Render,Hi-MAX,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{8240f02f-cfe0-4b33-abfc-f027920ca82a}|\Device\HarddiskVolume3\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe%b{00000000-0000-0000-0000-000000000000}|1%b31112,Hi-MAX\Application\Steam Client WebHelper,C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe,31112,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{868c3377-13c0-4760-9eb6-1f726b582759}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Render,Hi-MAX,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{8240f02f-cfe0-4b33-abfc-f027920ca82a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Hi-MAX\Application\System Sounds,,,,,,,
System Sounds,Application,Render,Steam Streaming Microphone,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{58d2970b-7dbb-4a41-b3cb-ccf55cf403b0}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Steam Streaming Microphone\Application\System Sounds,,,,,,,
System Sounds,Application,Render,G435 Wireless Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{aa49c661-fc14-4608-8644-89e1239fbadb}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,G435 Wireless Gaming Headset\Application\System Sounds,,,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{4362ec62-c181-43ab-bc38-5fcabdf13b8f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Render,Steam Streaming Speakers,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{efc8cc8b-0eed-438d-aad4-ac9f2ee9df25}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Steam Streaming Speakers\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,Steam Streaming Microphone,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{61a59412-7677-41e1-84d0-99ae84d3e311}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Steam Streaming Microphone\Application\System Sounds,,,,,,,
System Sounds,Application,Render,High Definition Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{3289eccc-3290-401b-8118-922ba3a9691e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,High Definition Audio Device\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,TONOR TC310 USB MIC,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{7d659691-8ee0-410e-a5d1-26df57c2b47d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,TONOR TC310 USB MIC\Application\System Sounds,,,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{25c4ed4b-69e0-45b2-96c9-88c93c9602f1}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,Steam Streaming Speakers,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{e89e9284-e797-4847-be0f-4ef6c4f948d5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Steam Streaming Speakers\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,G435 Wireless Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{f4782756-1736-4682-9ed9-f4f41f5d1a5a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,G435 Wireless Gaming Headset\Application\System Sounds,,,,,,,
Volumen,Subunit,Render,Hi-MAX,,,,,No,,100.0%,-60.00 dB,0.00 dB,0.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{2}.\\?\usb#vid_3302&pid_12ca&mi_00#7&1835b311&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\msft_topo/00020001,Hi-MAX\Subunit\Volumen,,,,,,,
